Alabama	1690061
Alabama	71821
Alabama	89534
Alabama	111193
Alabama	272548
Alabama	282771
Alabama	247601
Alabama	802920
Alabama	887141
Alaska	262075
Alaska	14976
Alaska	19178
Alaska	23009
Alaska	57163
Alaska	43284
Alaska	36824
Alaska	137271
Alaska	124804
Arizona	2448538
Arizona	98766
Arizona	110939
Arizona	146156
Arizona	355861
Arizona	379903
Arizona	329956
Arizona	1065720
Arizona	1382818
Arkansas	1030593
Arkansas	48340
Arkansas	58136
Arkansas	70141
Arkansas	176617
Arkansas	175953
Arkansas	138110
Arkansas	490680
Arkansas	539913
California	14896625
California	737168
California	822961
California	1045084
California	2605213
California	2538309
California	2081423
California	7224945
California	7671680
Colorado	2371694
Colorado	128510
Colorado	133335
Colorado	171676
Colorado	433521
Colorado	407246
Colorado	299990
Colorado	1140757
Colorado	1230937
Connecticut	1536858
Connecticut	66797
Connecticut	82714
Connecticut	103506
Connecticut	253017
Connecticut	260246
Connecticut	231822
Connecticut	745085
Connecticut	791773
Delaware	400714
Delaware	17690
Delaware	19441
Delaware	27170
Delaware	64301
Delaware	71082
Delaware	51838
Delaware	187221
Delaware	213493
Florida	8385577
Florida	465837
Florida	413043
Florida	496183
Florida	1375063
Florida	1163945
Florida	955166
Florida	3494174
Florida	4891403
Georgia	3888928
Georgia	172706
Georgia	181099
Georgia	230208
Georgia	584013
Georgia	602156
Georgia	491493
Georgia	1677662
Georgia	2211266
Hawaii	544056
Hawaii	23812
Hawaii	29341
Hawaii	36704
Hawaii	89857
Hawaii	96646
Hawaii	89405
Hawaii	275908
Hawaii	268148
Idaho	578134
Idaho	36305
Idaho	41416
Idaho	52340
Idaho	130061
Idaho	112741
Idaho	82492
Idaho	325294
Idaho	252840
Illinois	5497629
Illinois	242685
Illinois	256328
Illinois	327945
Illinois	826958
Illinois	882411
Illinois	767589
Illinois	2476958
Illinois	3020671
Indiana	2779124
Indiana	101293
Indiana	126614
Indiana	169021
Indiana	396928
Indiana	440715
Indiana	395195
Indiana	1232838
Indiana	1546286
Iowa	1353681
Iowa	59673
Iowa	68879
Iowa	89353
Iowa	217905
Iowa	219483
Iowa	212408
Iowa	649796
Iowa	703885
Kansas	1199162
Kansas	54579
Kansas	63890
Kansas	80987
Kansas	199456
Kansas	209722
Kansas	195969
Kansas	605147
Kansas	594015
Kentucky	1625006
Kentucky	63676
Kentucky	78105
Kentucky	98870
Kentucky	240651
Kentucky	251727
Kentucky	220099
Kentucky	712477
Kentucky	912529
Louisiana	1688674
Louisiana	75505
Louisiana	96630
Louisiana	124393
Louisiana	296528
Louisiana	334739
Louisiana	273880
Louisiana	905147
Louisiana	783527
Maine	513745
Maine	32363
Maine	35206
Maine	43543
Maine	111112
Maine	97595
Maine	85165
Maine	293872
Maine	219873
Maryland	2335479
Maryland	102621
Maryland	119124
Maryland	158609
Maryland	380354
Maryland	423757
Maryland	351430
Maryland	1155541
Maryland	1179938
Massachusetts	3316716
Massachusetts	137128
Massachusetts	161987
Massachusetts	202948
Massachusetts	502063
Massachusetts	523411
Massachusetts	482491
Massachusetts	1507965
Massachusetts	1808751
Michigan	3859949
Michigan	162156
Michigan	201905
Michigan	264662
Michigan	628723
Michigan	673020
Michigan	590651
Michigan	1892394
Michigan	1967555
Minnesota	2685047
Minnesota	106530
Minnesota	120621
Minnesota	163770
Minnesota	390921
Minnesota	457912
Minnesota	410179
Minnesota	1259012
Minnesota	1426035
Mississippi	939485
Mississippi	42790
Mississippi	54092
Mississippi	65401
Mississippi	162283
Mississippi	151877
Mississippi	123082
Mississippi	437242
Mississippi	502243
Missouri	2517204
Missouri	110308
Missouri	121620
Missouri	156668
Missouri	388596
Missouri	431013
Missouri	344173
Missouri	1163782
Missouri	1353422
Montana	376565
Montana	30918
Montana	34615
Montana	41277
Montana	106810
Montana	81258
Montana	57690
Montana	245758
Montana	130807
Nebraska	833472
Nebraska	41525
Nebraska	46412
Nebraska	58224
Nebraska	146161
Nebraska	148035
Nebraska	118391
Nebraska	412587
Nebraska	420885
Nevada	1191625
Nevada	45036
Nevada	53682
Nevada	71530
Nevada	170248
Nevada	176944
Nevada	155952
Nevada	503144
Nevada	688481
New Hampshire	603923
New Hampshire	28265
New Hampshire	35080
New Hampshire	44531
New Hampshire	107876
New Hampshire	109009
New Hampshire	83743
New Hampshire	300628
New Hampshire	303295
New Jersey	3679443
New Jersey	196872
New Jersey	209939
New Jersey	257176
New Jersey	663987
New Jersey	646905
New Jersey	525272
New Jersey	1836164
New Jersey	1843279
New Mexico	626466
New Mexico	31584
New Mexico	38169
New Mexico	51241
New Mexico	120994
New Mexico	119135
New Mexico	99602
New Mexico	339731
New Mexico	286735
New York	8261269
New York	485770
New York	465976
New York	563437
New York	1515183
New York	1353511
New York	1241570
New York	4110264
New York	4151005
North Carolina	3774377
North Carolina	169115
North Carolina	191772
North Carolina	247539
North Carolina	608426
North Carolina	626990
North Carolina	475474
